symbol,name,mega_sector,sector,industry,sub_industry,tags,shares_outstanding_cr,free_float_pct,nifty_universes
SBILIFE,SBI Life Insurance,FINANCIALS,INSURANCE,,,GOVERNMENT_COMPANY,100.0,35,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HDFCLIFE,HDFC Life Insurance,FINANCIALS,INSURANCE,,,,201.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
ICICIGI,ICICI Lombard,FINANCIALS,INSURANCE,,,,45.0,48,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BSE,BSE Ltd,FINANCIALS,CAPITAL_MARKETS,,,,12.0,99,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HDFCAMC,HDFC AMC,FINANCIALS,CAPITAL_MARKETS,,,HIGH_ROE,10.0,47,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BEL,Bharat Electronics,INDUSTRIALS,DEFENCE,DEFENCE_ELECTRONICS,,GOVERNMENT_COMPANY|PSU|EXPORT|HIGH_ROE,364.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HAL,Hindustan Aeronautics,INDUSTRIALS,DEFENCE,DEFENCE_ELECTRONICS,,GOVERNMENT_COMPANY|PSU|EXPORT|HIGH_ROE,334.0,25,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BHARATFORG,Bharat Forge,INDUSTRIALS,CAPITAL_GOODS,,,EXPORT,29.0,53,NIFTY50|NIFTY100|NIFTY200|NIFTY500
SIEMENS,Siemens India,INDUSTRIALS,CAPITAL_GOODS,,,,36.0,25,NIFTY50|NIFTY100|NIFTY200|NIFTY500
ABB,ABB India,INDUSTRIALS,CAPITAL_GOODS,,,,21.0,25,NIFTY50|NIFTY100|NIFTY200|NIFTY500
LT,Larsen & Toubro,INDUSTRIALS,CAPITAL_GOODS,,,EXPORT,138.0,90,NIFTY50|NIFTY100|NIFTY200|NIFTY500
SUNPHARMA,Sun Pharmaceutical,HEALTHCARE,PHARMACEUTICALS,,,EXPORT|HIGH_ROE,240.0,46,NIFTY50|NIFTY100|NIFTY200|NIFTY500
DRREDDY,Dr Reddys Laboratories,HEALTHCARE,PHARMACEUTICALS,,,EXPORT,83.0,74,NIFTY50|NIFTY100|NIFTY200|NIFTY500
CIPLA,Cipla,HEALTHCARE,PHARMACEUTICALS,,,EXPORT,80.0,67,NIFTY50|NIFTY100|NIFTY200|NIFTY500
DIVISLAB,Divis Laboratories,HEALTHCARE,PHARMACEUTICALS,,,EXPORT|HIGH_ROE,53.0,52,NIFTY50|NIFTY100|NIFTY200|NIFTY500
APOLLOHOSP,Apollo Hospitals,HEALTHCARE,HOSPITALS,,,,70.0,69,NIFTY50|NIFTY100|NIFTY200|NIFTY500
MAXHEALTH,Max Healthcare,HEALTHCARE,HOSPITALS,,,,121.0,19,NIFTY50|NIFTY100|NIFTY200|NIFTY500
ITC,ITC Ltd,CONSUMER,FMCG,,,HIGH_ROE,1235.0,100,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HINDUNILVR,Hindustan Unilever,CONSUMER,FMCG,,,HIGH_ROE,235.0,38,NIFTY50|NIFTY100|NIFTY200|NIFTY500
NESTLEIND,Nestle India,CONSUMER,FMCG,,,HIGH_ROE,96.0,38,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BRITANNIA,Britannia Industries,CONSUMER,FMCG,,,HIGH_ROE,24.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
TITAN,Titan Company,CONSUMER,RETAIL,,,HIGH_ROE,89.0,47,NIFTY50|NIFTY100|NIFTY200|NIFTY500
TRENT,Trent Ltd,CONSUMER,RETAIL,,,HIGH_ROE,36.0,63,NIFTY50|NIFTY100|NIFTY200|NIFTY500
DMART,Avenue Supermarts,CONSUMER,RETAIL,,,,65.0,25,NIFTY50|NIFTY100|NIFTY200|NIFTY500
VOLTAS,Voltas Ltd,CONSUMER,CONSUMER_DURABLES,,,,33.0,71,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HAVELLS,Havells India,CONSUMER,CONSUMER_DURABLES,,,,63.0,60,NIFTY50|NIFTY100|NIFTY200|NIFTY500
MARUTI,Maruti Suzuki,AUTOMOBILES,AUTO_OEM,,,EXPORT,30.0,44,NIFTY50|NIFTY100|NIFTY200|NIFTY500
TMPV,Tata Motors Passenger Vehicles,AUTOMOBILES,AUTO_OEM,,,EXPORT,346.0,54,NIFTY50|NIFTY100|NIFTY200|NIFTY500
TMCV,Tata Motors Ltd (Commercial Vehicles),AUTOMOBILES,AUTO_OEM,,,EXPORT,368.0,54,NIFTY50|NIFTY100|NIFTY200|NIFTY500
M&M,Mahindra & Mahindra,AUTOMOBILES,AUTO_OEM,,,EXPORT,125.0,80,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BAJAJ-AUTO,Bajaj Auto,AUTOMOBILES,AUTO_OEM,,,EXPORT|HIGH_ROE,29.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
EICHERMOT,Eicher Motors,AUTOMOBILES,AUTO_OEM,,,EXPORT|HIGH_ROE,27.0,51,NIFTY50|NIFTY100|NIFTY200|NIFTY500
ONGC,Oil & Natural Gas Corp,ENERGY,OIL_GAS,,,GOVERNMENT_COMPANY|PSU,1259.0,41,NIFTY50|NIFTY100|NIFTY200|NIFTY500
IOC,Indian Oil Corporation,ENERGY,OIL_GAS,,,GOVERNMENT_COMPANY|PSU,1382.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BPCL,Bharat Petroleum,ENERGY,OIL_GAS,,,GOVERNMENT_COMPANY|PSU,217.0,47,NIFTY50|NIFTY100|NIFTY200|NIFTY500
NTPC,NTPC Ltd,ENERGY,POWER,,,GOVERNMENT_COMPANY|PSU,1000.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
POWERGRID,Power Grid Corporation,ENERGY,POWER,,,GOVERNMENT_COMPANY|PSU,922.0,49,NIFTY50|NIFTY100|NIFTY200|NIFTY500
TATASTEEL,Tata Steel,MATERIALS,METALS_MINING,,,EXPORT,1224.0,66,NIFTY50|NIFTY100|NIFTY200|NIFTY500
JSWSTEEL,JSW Steel,MATERIALS,METALS_MINING,,,EXPORT,242.0,55,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HINDALCO,Hindalco Industries,MATERIALS,METALS_MINING,,,EXPORT,223.0,60,NIFTY50|NIFTY100|NIFTY200|NIFTY500
COALINDIA,Coal India,MATERIALS,METALS_MINING,,,GOVERNMENT_COMPANY|PSU,616.0,34,NIFTY50|NIFTY100|NIFTY200|NIFTY500
ULTRACEMCO,UltraTech Cement,MATERIALS,CEMENT,,,,29.0,60,NIFTY50|NIFTY100|NIFTY200|NIFTY500
SHREECEM,Shree Cement,MATERIALS,CEMENT,,,,4.6,35,NIFTY50|NIFTY100|NIFTY200|NIFTY500
PERSISTENT,Persistent Systems,TECHNOLOGY,IT_SERVICES,,,EXPORT,15.0,73,NIFTY200|NIFTY500|MIDCAP150
COFORGE,Coforge Ltd,TECHNOLOGY,IT_SERVICES,,,EXPORT,6.4,65,NIFTY200|NIFTY500|MIDCAP150
MAZDOCK,Mazagon Dock Shipbuilders,INDUSTRIALS,DEFENCE,DEFENCE_ELECTRONICS,,GOVERNMENT_COMPANY|PSU|EXPORT,4.0,25,NIFTY200|NIFTY500|MIDCAP150
COCHINSHIP,Cochin Shipyard,INDUSTRIALS,DEFENCE,DEFENCE_ELECTRONICS,,GOVERNMENT_COMPANY|PSU,2.7,25,NIFTY500|SMALLCAP250
LAURUSLABS,Laurus Labs,HEALTHCARE,PHARMACEUTICALS,,,EXPORT,5.4,51,NIFTY200|NIFTY500|MIDCAP150
GLAND,Gland Pharma,HEALTHCARE,PHARMACEUTICALS,,,EXPORT,15.3,26,NIFTY200|NIFTY500|MIDCAP150
MARICO,Marico Ltd,CONSUMER,FMCG,,,HIGH_ROE,6.0,40,NIFTY100|NIFTY200|NIFTY500
GODREJCP,Godrej Consumer Products,CONSUMER,FMCG,,,HIGH_ROE,6.8,37,NIFTY100|NIFTY200|NIFTY500
ASHOKLEY,Ashok Leyland,AUTOMOBILES,AUTO_OEM,,,EXPORT,8.0,49,NIFTY200|NIFTY500|MIDCAP150
JINDALSTEL,Jindal Steel & Power,MATERIALS,METALS_MINING,,,EXPORT,9.0,40,NIFTY200|NIFTY500|MIDCAP150
NMDC,NMDC Ltd,MATERIALS,METALS_MINING,,,GOVERNMENT_COMPANY|PSU,4.5,32,NIFTY500|SMALLCAP250
CANBK,Canara Bank,FINANCIALS,BANKS,PSU_BANKS,,GOVERNMENT_COMPANY|PSU,9.0,26,NIFTY200|NIFTY500|MIDCAP150
UNIONBANK,Union Bank of India,FINANCIALS,BANKS,PSU_BANKS,,GOVERNMENT_COMPANY|PSU,7.0,25,NIFTY200|NIFTY500|MIDCAP150
CHOLAFIN,Cholamandalam Investment,FINANCIALS,NBFC,,,HIGH_ROE,8.0,53,NIFTY200|NIFTY500|MIDCAP150
MUTHOOTFIN,Muthoot Finance,FINANCIALS,NBFC,,,HIGH_ROE,4.0,26,NIFTY500|SMALLCAP250
BEML,BEML Ltd,INDUSTRIALS,DEFENCE,DEFENCE_ELECTRONICS,,GOVERNMENT_COMPANY|PSU,6.0,26,NIFTY500|MIDCAP150
DATAPATTNS,Data Patterns India,INDUSTRIALS,DEFENCE,DEFENCE_ELECTRONICS,,EXPORT,1.5,31,NIFTY500|SMALLCAP250
TVSMOTOR,TVS Motor Company,AUTOMOBILES,AUTO_OEM,,,EXPORT,7.5,25,NIFTY200|NIFTY500|MIDCAP150
HINDZINC,Hindustan Zinc,MATERIALS,METALS_MINING,,,GOVERNMENT_COMPANY,8.0,35,NIFTY200|NIFTY500|MIDCAP150
NATIONALUM,National Aluminium Co,MATERIALS,METALS_MINING,,,GOVERNMENT_COMPANY|PSU,3.0,49,NIFTY500|SMALLCAP250
PNBHOUSING,PNB Housing Finance,FINANCIALS,NBFC,,,GOVERNMENT_COMPANY,2.5,68,NIFTY500|SMALLCAP250
LICHSGFIN,LIC Housing Finance,FINANCIALS,NBFC,,,GOVERNMENT_COMPANY,6.5,100,NIFTY200|NIFTY500|MIDCAP150
LALPATHLAB,Dr Lal PathLabs,HEALTHCARE,DIAGNOSTICS,,,,8.3,53,NIFTY200|NIFTY500|MIDCAP150
METROPOLIS,Metropolis Healthcare,HEALTHCARE,DIAGNOSTICS,,,,5.4,53,NIFTY500|SMALLCAP250
PIDILITE,Pidilite Industries,MATERIALS,SPECIALTY_CHEMICALS,,,HIGH_ROE,50.7,29,NIFTY50|NIFTY100|NIFTY200|NIFTY500
SRF,SRF Ltd,MATERIALS,SPECIALTY_CHEMICALS,,,EXPORT,13.5,50,NIFTY100|NIFTY200|NIFTY500
AARTIIND,Aarti Industries,MATERIALS,SPECIALTY_CHEMICALS,,,EXPORT,9.1,68,NIFTY200|NIFTY500|MIDCAP150
UPL,UPL Ltd,MATERIALS,AGRO_CHEMICALS,,,EXPORT,76.7,73,NIFTY100|NIFTY200|NIFTY500
PIIND,PI Industries,MATERIALS,AGRO_CHEMICALS,,,EXPORT,30.1,54,NIFTY100|NIFTY200|NIFTY500
IRCTC,Indian Railway Catering & Tourism Corp,INDUSTRIALS,RAILWAYS,,,GOVERNMENT_COMPANY|PSU|HIGH_ROE,80.0,33,NIFTY100|NIFTY200|NIFTY500
RVNL,Rail Vikas Nigam,INDUSTRIALS,RAILWAYS,,,GOVERNMENT_COMPANY|PSU,8.0,22,NIFTY200|NIFTY500|MIDCAP150
IRFC,Indian Railway Finance Corp,INDUSTRIALS,RAILWAYS,,,GOVERNMENT_COMPANY|PSU,10.0,14,NIFTY200|NIFTY500|MIDCAP150
MOTHERSON,Samvardhana Motherson International,AUTOMOBILES,AUTO_ANCILLARY,,,EXPORT,9.0,37,NIFTY200|NIFTY500|MIDCAP150
BOSCHLTD,Bosch Ltd,AUTOMOBILES,AUTO_ANCILLARY,,,EXPORT,22.0,29,NIFTY100|NIFTY200|NIFTY500
MRF,MRF Ltd,AUTOMOBILES,AUTO_ANCILLARY,,,EXPORT,25.0,42,NIFTY100|NIFTY200|NIFTY500
PAGEIND,Page Industries,CONSUMER,TEXTILES,,,HIGH_ROE,8.0,53,NIFTY200|NIFTY500|MIDCAP150
TRIDENT,Trident Ltd,CONSUMER,TEXTILES,,,EXPORT,2.0,26,NIFTY500|SMALLCAP250
ADANIGREEN,Adani Green Energy,ENERGY,RENEWABLE_ENERGY,,,,25.0,26,NIFTY100|NIFTY200|NIFTY500
SUZLON,Suzlon Energy,ENERGY,RENEWABLE_ENERGY,,,,6.0,86,NIFTY200|NIFTY500|MIDCAP150
TATAPOWER,Tata Power Company,ENERGY,RENEWABLE_ENERGY,,,,27.0,53,NIFTY100|NIFTY200|NIFTY500
ZEEL,Zee Entertainment Enterprises,CONSUMER,MEDIA,,,,6.0,95,NIFTY200|NIFTY500|MIDCAP150
SUNTV,Sun TV Network,CONSUMER,MEDIA,,,HIGH_ROE,4.0,25,NIFTY500|SMALLCAP250
GMRINFRA,GMR Airports Infrastructure,INDUSTRIALS,INFRASTRUCTURE,,,,8.0,35,NIFTY200|NIFTY500|MIDCAP150
NBCC,NBCC India,INDUSTRIALS,INFRASTRUCTURE,,,GOVERNMENT_COMPANY|PSU,3.0,25,NIFTY500|SMALLCAP250
IRB,IRB Infrastructure Developers,INDUSTRIALS,INFRASTRUCTURE,,,,3.5,30,NIFTY500|SMALLCAP250
